season,name,team,Position,Cap.Hit.Pct.League.Cap,GF/60,xGF/60,Off. Zone Faceoffs/60,TOI,LDGF/60,Off. Zone Faceoff %,globalMoneyScore
20222023,Erik Karlsson,SJS,D,0.1394,0.2702020202020202,0.624420401854714,0.7663414634146342,0.8708025159328305,0.17977528089887643,0.7024,0.6997852438418453
20152016,Erik Karlsson,OTT,D,0.091,0.2089646464646465,0.4574961360123648,0.6251219512195122,0.9850556440174211,0.17415730337078653,0.6155,0.6820015478536516
20212022,Cale Makar,COL,D,0.1104,0.31250000000000006,0.6445131375579598,0.7470731707317073,0.819375129467088,0.20926966292134833,0.6398,0.6775295559060115
20142015,Erik Karlsson,OTT,D,0.0942,0.22222222222222224,0.5162287480680061,0.656829268292683,0.9265777287620203,0.11376404494382024,0.6172,0.6692577129801924
20222023,Brandon Montour,FLA,D,0.0424,0.3005050505050505,0.7418856259659968,0.6641463414634147,0.8001589825119514,0.14466292134831463,0.6413,0.6674002990260197
20222023,Connor McDavid,EDM,C,0.1515,0.3920454545454546,0.8052550231839258,0.6697560975609756,0.7609732496025768,0.1460674157303371,0.6208,0.6669793518172148
20222023,Miro Heiskanen,DAL,D,0.1024,0.26136363636363635,0.5904173106646058,0.7121951219512195,0.8348724683763276,0.175561797752809,0.6503,0.6638847082336833
20212022,Roman Josi,NSH,D,0.1112,0.2815656565656566,0.5347758887171561,0.722439024390244,0.8473076655837635,0.14887640449438205,0.6713,0.6621342283782867
20132014,Ryan Suter,MIN,D,0.1172,0.17424242424242423,0.39721792890262747,0.5897560975609756,0.9999999999999999,0.13623595505617977,0.5681,0.6618456569233929
20152016,Ryan Suter,MIN,D,0.1056,0.19381313131313133,0.4482225656877898,0.6178048780487805,0.9720743763046973,0.10393258426966293,0.56,0.6615695073505887
20172018,Brent Burns,SJS,D,0.1067,0.20328282828282832,0.536321483771252,0.7014634146341464,0.8581392133821999,0.18258426966292138,0.6667,0.6608494169118213
20222023,Rasmus Dahlin,BUF,D,0.0727,0.2897727272727273,0.6105100463678517,0.6682926829268293,0.8341535910693532,0.19382022471910113,0.6143,0.6596545933018295
20142015,Drew Doughty,LAK,D,0.1014,0.1830808080808081,0.446676970633694,0.5878048780487806,0.9857814337457682,0.10252808988764045,0.5429,0.6596347357429088
20222023,Sidney Crosby,PIT,C,0.1055,0.3005050505050505,0.7712519319938177,0.8319512195121951,0.6847238544273611,0.15449438202247193,0.7092,0.6593129640826607
20132014,Erik Karlsson,OTT,D,0.1011,0.20833333333333334,0.4837712519319938,0.6307317073170732,0.9195202875509894,0.15870786516853932,0.602,0.6575809517708172
20212022,Victor Hedman,TBL,D,0.0966,0.29545454545454547,0.5842349304482225,0.6368292682926829,0.8508951405267366,0.1657303370786517,0.6146,0.6550033973144187
20212022,Connor McDavid,EDM,C,0.1534,0.32386363636363635,0.7913446676970634,0.6465853658536586,0.731810326951029,0.19943820224719103,0.6616,0.652708553341914
20142015,Ryan Suter,MIN,D,0.1093,0.16919191919191923,0.4683153013910355,0.6541463414634147,0.9275385358401982,0.06460674157303371,0.6028,0.6520097077592516
20182019,Brent Burns,SJS,D,0.1006,0.26136363636363635,0.5440494590417311,0.6504878048780488,0.8532591413562104,0.1306179775280899,0.6526,0.649939530433151
20182019,Nathan MacKinnon,COL,C,0.0792,0.2948232323232323,0.5486862442040185,0.828048780487805,0.7509711757793944,0.18820224719101125,0.7011,0.6485779203780864
20182019,John Carlson,WSH,D,0.1006,0.29292929292929293,0.562596599690881,0.6502439024390244,0.831298817861363,0.2303370786516854,0.5877,0.6475599135213806
20222023,Adam Fox,NYR,D,0.1152,0.259469696969697,0.6537867078825348,0.6082926829268294,0.8287205365314401,0.1404494382022472,0.586,0.6462191097258
20152016,Brent Burns,SJS,D,0.0807,0.22474747474747478,0.5517774343122102,0.6017073170731708,0.8792700629017932,0.1601123595505618,0.5677,0.6457928727390703
20212022,Kris Letang,PIT,D,0.089,0.26767676767676774,0.6105100463678517,0.6317073170731707,0.8335591344439299,0.10955056179775283,0.6139,0.6452187582361115
20222023,Leon Draisaitl,EDM,C,0.103,0.39457070707070707,0.7697063369397219,0.6817073170731708,0.7207852355015247,0.16853932584269662,0.5925,0.645028251992789
20112012,Erik Karlsson,OTT,D,0.0136,0.2493686868686869,0.5255023183925811,0.6265853658536585,0.8501624387917537,0.17275280898876405,0.6484,0.6437207765904154
20222023,Brayden Point,TBL,C,0.1152,0.3453282828282828,0.7310664605873262,0.7658536585365854,0.6686113224580538,0.18820224719101125,0.7307,0.6424645996710333
20222023,Nathan MacKinnon,COL,C,0.0764,0.34911616161616166,0.6862442040185472,0.8358536585365854,0.656839704016084,0.22331460674157305,0.7137,0.6423919165827248
20162017,Brent Burns,SJS,D,0.0789,0.22474747474747478,0.5502318392581144,0.6331707317073171,0.8452132437962473,0.16151685393258428,0.626,0.6423876622169663
20222023,Dougie Hamilton,NJD,D,0.1091,0.29292929292929293,0.659969088098918,0.702439024390244,0.7401880141010936,0.22471910112359553,0.6623,0.6422562963240468
20222023,Joshua Morrissey,WPG,D,0.0758,0.26262626262626265,0.6213292117465223,0.6936585365853659,0.7835418537361191,0.12921348314606743,0.6564,0.6418684020860806
20172018,John Klingberg,DAL,D,0.0567,0.23800505050505052,0.5842349304482225,0.6546341463414634,0.8184143223889102,0.1601123595505618,0.6171,0.6405306917216766
20222023,Brent Burns,CAR,D,0.097,0.22664141414141414,0.6321483771251931,0.6880487804878049,0.7891891891892184,0.1404494382022472,0.6168,0.6398944201258453
